filename,length,area,inscribedCircle,circumscribedCircle,specificValue,rectangleDegree,circleDegree,num
0.0,126.22539508342744,1006.0,13.0,21.0,0.6190476190476191,0.7869214409654259,0.793440504947884,16.0
0.0,190.6518018245697,2527.0,26.0,30.0,0.8666666666666667,0.8039059248744397,0.8736415440933157,16.0
0.0,269.3797241449356,4350.5,25.0,48.0,0.5208333333333334,0.8459095293924734,0.7533889209073666,16.0
0.0,238.30865609645844,3338.0,21.0,44.0,0.4772727272727273,0.8267284923058857,0.738612343684164,16.0
0.0,170.99494802951813,1894.0,18.0,30.0,0.6,0.8006763897696048,0.8139978908770394,16.0
0.0,110.2253955602646,756.0,11.0,17.0,0.6470588235294118,0.7963577385344793,0.7819308130979368,16.0
0.0,168.06601548194885,1670.5,15.0,31.0,0.4838709677419355,0.8170701883101003,0.743184316576544,16.0
0.0,252.3502861261368,4295.5,29.0,42.0,0.6904761904761905,0.8445065327971808,0.8476488641680174,16.0
0.0,186.10764527320865,2018.0,16.0,33.0,0.4848484848484848,0.8678577443532898,0.7321542663894722,16.0
0.0,333.3452351093292,6388.5,30.0,62.0,0.4838709677419355,0.8296753246753247,0.7224707349983365,16.0
0.0,225.66399478912356,3232.5,24.0,40.0,0.6,0.8167731337895343,0.7976710928268562,16.0
0.0,155.3380937576294,1687.0,21.0,24.0,0.875,0.8245356793743891,0.8785550993833765,16.0
0.0,218.75230705738068,3327.5,28.0,35.0,0.8,0.8378129642374333,0.8738213351736719,16.0
0.0,229.53910386562347,3090.0,21.0,42.0,0.5,0.8507238001263976,0.736978774155194,16.0
0.0,282.877197265625,5288.0,34.0,48.0,0.7083333333333334,0.8211444138020387,0.8304345885273738,9.0
0.0,166.9533174037933,1837.5,20.0,28.0,0.7142857142857143,0.798223346296571,0.8284133819550766,8.0
0.0,209.33809316158292,3047.0,28.0,34.0,0.8235294117647058,0.8001575630252101,0.8737471867391156,32.0
0.0,304.3330408334732,6034.0,35.0,51.0,0.6862745098039216,0.8297579065898295,0.8186852370634791,32.0
0.0,184.0243847370148,2207.0,21.0,31.0,0.6774193548387096,0.7982771804203501,0.818957658147024,32.0
0.0,316.7350617647171,6485.0,34.0,56.0,0.6071428571428571,0.8090371037370074,0.8123207775954897,32.0
0.0,359.7056238651276,4424.0,22.0,48.0,0.4583333333333333,0.7821786013158407,0.4296655426474747,9.0
0.0,178.61017155647278,1674.5,15.0,32.0,0.46875,0.8055745181961728,0.6596030280002352,9.0
0.0,289.62236416339874,2885.0,19.0,44.0,0.4318181818181818,0.7996119733924612,0.4322066979066235,14.0
0.0,258.2497798204422,4049.0,28.0,45.0,0.6222222222222222,0.7847597507566215,0.7629177529312257,15.0
0.0,363.9482651948929,8257.5,36.0,65.0,0.5538461538461539,0.8234155400811269,0.7833920125605386,13.0
0.0,270.02438509464264,3887.0,21.0,52.0,0.4038461538461538,0.8352533881783043,0.6699130424893326,13.0
0.0,304.5340509414673,5679.0,32.0,51.0,0.6274509803921569,0.8351053416567278,0.7695024618269665,13.0
0.0,260.10764515399933,4452.0,32.0,42.0,0.7619047619047619,0.8108096537270407,0.826911030346241,13.0
0.0,174.02438497543335,1813.0,17.0,31.0,0.5483870967741935,0.8274195072153222,0.752293748620213,11.0
0.0,315.8061310052872,6596.5,36.0,56.0,0.6428571428571429,0.7734450606656921,0.831155564253486,21.0
0.0,327.8061310052872,6931.5,36.0,57.0,0.631578947368421,0.8367741586801883,0.810593184080957,10.0
0.0,251.46298491954803,3806.5,25.0,46.0,0.5434782608695652,0.8199852168958642,0.7564627815463857,12.0
0.0,326.77669179439545,5573.5,25.0,61.0,0.4098360655737705,0.8566971941136358,0.6558971230150903,15.0
0.0,344.2325352430344,6389.5,27.0,66.0,0.4090909090909091,0.8452394400526798,0.6775992360497313,15.0
0.0,244.69343090057373,4172.5,33.0,39.0,0.8461538461538461,0.8045615320284267,0.8757125802461687,10.0
0.0,290.24978041648865,5122.0,28.0,51.0,0.5490196078431373,0.8457211761381606,0.7640216027519828,13.0
